Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
std::set<int, std::less<int>, std::allocator<int>>::find	10.729987	10.729987	0.0	0.0	serial_prim	std::set<int, std::less<int>, std::allocator<int>>::find(int const&)	[Unknown]	0x4032b6
std::istream::operator>>	6.209300	6.209300	0.0	0.0	libstdc++.so.6	std::istream::operator>>()	[Unknown]	0x102530
std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>::push_back	1.869964	1.869964	0.0	0.0	serial_prim	std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>::push_back(std::pair<int, int>&&)	[Unknown]	0x402f32
__gnu_cxx::__aligned_membuf<int>::_M_ptr	0.899968	0.899968	0.0	0.0	serial_prim	__gnu_cxx::__aligned_membuf<int>::_M_ptr(void) const	[Unknown]	0x40667a
__gnu_cxx::__aligned_membuf<int>::_M_addr	0.569985	0.569985	0.0	0.0	serial_prim	__gnu_cxx::__aligned_membuf<int>::_M_addr(void) const	[Unknown]	0x4069ca
get_adj_list	0.430081	0.430081	0.0	0.0	serial_prim	get_adj_list(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>)	[Unknown]	0x401d96
prim_minimum_spanning_tree	0.320035	0.320035	0.0	0.0	serial_prim	prim_minimum_spanning_tree(std::vector<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>>&)	[Unknown]	0x401f8b
std::get<(unsigned long)1, int, int>	0.280055	0.280055	0.0	0.0	serial_prim	std::get<(unsigned long)1, int, int>(int&&)	[Unknown]	0x402b19
std::set<int, std::less<int>, std::allocator<int>>::end	0.240008	0.240008	0.0	0.0	serial_prim	std::set<int, std::less<int>, std::allocator<int>>::end(void) const	[Unknown]	0x4032f6
__gnu_cxx::new_allocator<std::pair<int, int>>::construct<std::pair<int, int>, std::pair<int, int>>	0.220569	0.220569	0.0	0.0	serial_prim	__gnu_cxx::new_allocator<std::pair<int, int>>::construct<std::pair<int, int>, std::pair<int, int>>(std::pair<int, int>*, std::pair<int, int>&&)	[Unknown]	0x4056b2
